gpsWeek	gpsTow	day	mon	year	hour	min	sec	ecef_x_m	ecef_y_m	ecef_z_m	enlem_deg	boylam_deg	irtifa_m_msl	irtifa_m_ell
2169	471873.998000	6	8	2021	11	4	33	4208116.391000	2335562.560000	4171654.946000	41.108728	29.030878	154.776000	192.158000
2169	471874.998000	6	8	2021	11	4	34	4208116.295000	2335562.449000	4171654.926000	41.108728	29.030878	154.686000	192.067000
2169	471875.998000	6	8	2021	11	4	35	4208116.157000	2335562.437000	4171654.889000	41.108729	29.030878	154.574000	191.955000
2169	471876.998000	6	8	2021	11	4	36	4208116.119000	2335562.397000	4171654.876000	41.108730	29.030878	154.494000	191.875000
2169	471877.998000	6	8	2021	11	4	37	4208115.954000	2335562.381000	4171654.857000	41.108729	29.030879	154.374000	191.756000
2169	471878.998000	6	8	2021	11	4	38	4208115.915000	2335562.402000	4171654.763000	41.108730	29.030879	154.293000	191.675000
2169	471879.998000	6	8	2021	11	4	39	4208115.809000	2335562.307000	4171654.755000	41.108730	29.030879	154.181000	191.563000
2169	471880.998000	6	8	2021	11	4	40	4208115.694000	2335562.328000	4171654.731000	41.108731	29.030879	154.106000	191.487000
2169	471881.998000	6	8	2021	11	4	41	4208115.607000	2335562.275000	4171654.777000	41.108732	29.030879	154.058000	191.431000
2169	471882.998000	6	8	2021	11	4	42	4208115.446000	2335562.190000	4171654.881000	41.108733	29.030880	154.005000	191.378000
2169	471883.998000	6	8	2021	11	4	43	4208115.435000	2335562.147000	4171654.933000	41.108734	29.030880	154.001000	191.383000
2169	471884.998000	6	8	2021	11	4	44	4208115.345000	2335562.084000	4171655.193000	41.108736	29.030879	154.080000	191.453000
2169	471885.998000	6	8	2021	11	4	45	4208115.231000	2335562.080000	4171655.211000	41.108737	29.030880	154.024000	191.406000
2169	471886.998000	6	8	2021	11	4	46	4208115.165000	2335562.115000	4171655.142000	41.108737	29.030880	153.964000	191.345000
2169	471887.998000	6	8	2021	11	4	47	4208115.111000	2335562.119000	4171655.212000	41.108737	29.030880	153.974000	191.347000
2169	471888.998000	6	8	2021	11	4	48	4208115.092000	2335562.023000	4171655.281000	41.108738	29.030880	153.979000	191.351000
2169	471889.998000	6	8	2021	11	4	49	4208115.017000	2335562.051000	4171655.397000	41.108740	29.030881	153.996000	191.378000
2169	471890.998000	6	8	2021	11	4	50	4208114.943000	2335562.059000	4171655.456000	41.108740	29.030881	153.980000	191.362000
2169	471891.998000	6	8	2021	11	4	51	4208114.920000	2335562.046000	4171655.478000	41.108740	29.030882	153.992000	191.364000
2169	471892.998000	6	8	2021	11	4	52	4208114.879000	2335562.086000	4171655.581000	41.108741	29.030881	154.028000	191.409000
2169	471893.998000	6	8	2021	11	4	53	4208114.869000	2335561.963000	4171655.778000	41.108743	29.030881	154.089000	191.461000
2169	471894.998000	6	8	2021	11	4	54	4208114.757000	2335561.975000	4171655.944000	41.108744	29.030881	154.155000	191.537000
2169	471895.998000	6	8	2021	11	4	55	4208114.697000	2335561.794000	4171656.289000	41.108748	29.030880	154.338000	191.710000
2169	471896.998000	6	8	2021	11	4	56	4208114.729000	2335561.810000	4171656.367000	41.108748	29.030880	154.370000	191.752000
2169	471897.998000	6	8	2021	11	4	57	4208114.631000	2335561.743000	4171656.511000	41.108750	29.030880	154.416000	191.788000
2169	471898.998000	6	8	2021	11	4	58	4208114.650000	2335561.779000	4171656.663000	41.108751	29.030880	154.454000	191.836000
2169	471899.998000	6	8	2021	11	4	59	4208114.612000	2335561.709000	4171656.831000	41.108752	29.030879	154.535000	191.916000
2169	471900.998000	6	8	2021	11	5	0	4208114.536000	2335561.656000	4171657.140000	41.108755	29.030879	154.686000	192.059000
2169	471901.998000	6	8	2021	11	5	1	4208114.540000	2335561.536000	4171657.539000	41.108758	29.030878	154.909000	192.282000
2169	471902.998000	6	8	2021	11	5	2	4208114.572000	2335561.562000	4171657.643000	41.108758	29.030878	154.929000	192.311000
2169	471903.998000	6	8	2021	11	5	3	4208114.507000	2335561.506000	4171657.816000	41.108760	29.030878	155.068000	192.450000
2169	471904.998000	6	8	2021	11	5	4	4208114.503000	2335561.453000	4171657.988000	41.108761	29.030877	155.135000	192.517000
2169	471905.998000	6	8	2021	11	5	5	4208114.455000	2335561.422000	4171658.177000	41.108763	29.030877	155.227000	192.608000
2169	471906.998000	6	8	2021	11	5	6	4208114.461000	2335561.349000	4171658.240000	41.108764	29.030877	155.274000	192.655000
2169	471907.998000	6	8	2021	11	5	7	4208114.403000	2335561.321000	4171658.335000	41.108764	29.030877	155.291000	192.673000
